task,model,L1,L2,L3,L4,L5,L6,L7
classification,claude-haiku,0.915,0.95,0.94,0.97,0.97,0.94,0.97
classification,gemini-flash,0.83,0.857,0.89,0.94,0.92,0.91,0.94
classification,gpt-4o-mini,0.792,0.812,0.91,0.94,0.94,0.94,0.97
classification,kimi-k2,0.742,0.94,0.91,0.91,0.91,0.94,0.94
classification,llama-3.1-8b,0.78,0.89,0.93,1.0,0.91,0.97,0.97
classification,llama-3.3-70b,0.895,0.95,0.94,0.94,0.94,0.94,0.94
classification,qwen3-32b,0.878,0.94,0.94,0.97,0.94,1.0,1.0
instruction_following,claude-haiku,0.818,0.8,0.802,0.79,0.798,0.805,0.805
instruction_following,gemini-flash,0.785,0.788,0.782,0.792,0.762,0.79,0.78
instruction_following,gpt-4o-mini,0.798,0.785,0.785,0.76,0.795,0.775,0.75
instruction_following,kimi-k2,0.788,0.795,0.792,0.782,0.79,0.78,0.795
instruction_following,llama-3.1-8b,0.78,0.78,0.785,0.8,0.79,0.862,0.842
instruction_following,llama-3.3-70b,0.79,0.778,0.782,0.775,0.785,0.775,0.772
instruction_following,qwen3-32b,0.792,0.792,0.77,0.788,0.8,0.802,0.795
math_reasoning,claude-haiku,0.98,1.0,0.62,0.997,0.98,1.0,1.0
math_reasoning,gemini-flash,0.963,0.972,0.58,0.95,0.962,0.955,0.98
math_reasoning,gpt-4o-mini,0.962,0.968,0.562,0.952,0.95,0.935,0.962
math_reasoning,kimi-k2,0.912,0.938,0.6,0.972,0.957,0.96,0.97
math_reasoning,llama-3.1-8b,0.93,0.96,0.692,0.94,0.918,0.922,0.912
math_reasoning,llama-3.3-70b,0.95,0.97,0.612,0.97,0.99,0.968,0.997
math_reasoning,qwen3-32b,0.957,0.96,0.54,0.965,0.965,0.94,0.968
product_extraction,claude-haiku,0.802,0.822,0.795,0.818,0.825,0.842,0.992
product_extraction,gemini-flash,0.722,0.792,0.81,0.792,0.826,0.85,0.913
product_extraction,gpt-4o-mini,0.78,0.835,0.825,0.842,0.88,0.882,0.948
product_extraction,kimi-k2,0.77,0.868,0.812,0.88,0.875,0.872,0.957
product_extraction,llama-3.1-8b,0.768,0.798,0.825,0.8,0.79,0.83,0.865
product_extraction,llama-3.3-70b,0.755,0.79,0.815,0.818,0.83,0.84,0.84
product_extraction,qwen3-32b,0.738,0.805,0.802,0.862,0.872,0.888,0.957
qa,claude-haiku,0.922,0.948,0.922,0.922,0.915,0.912,0.888
qa,gemini-flash,0.893,0.882,0.865,0.91,0.925,0.893,0.885
qa,gpt-4o-mini,0.935,0.915,0.915,0.922,0.912,0.905,0.903
qa,kimi-k2,0.915,0.9,0.9,0.92,0.908,0.918,0.878
qa,llama-3.1-8b,0.918,0.92,0.9,0.92,0.912,0.918,0.868
qa,llama-3.3-70b,0.945,0.905,0.928,0.925,0.932,0.932,0.905
qa,qwen3-32b,0.938,0.94,0.912,0.91,0.925,0.905,0.898
summarization,claude-haiku,0.982,0.97,0.972,0.957,0.957,0.942,0.942
summarization,gemini-flash,0.945,0.94,0.945,0.96,0.957,0.95,0.952
summarization,gpt-4o-mini,0.952,0.945,0.955,0.95,0.942,0.94,0.945
summarization,kimi-k2,0.978,0.975,0.978,0.967,0.957,0.957,0.96
summarization,llama-3.1-8b,0.95,0.932,0.935,0.945,0.96,0.942,0.938
summarization,llama-3.3-70b,0.942,0.957,0.945,0.95,0.95,0.942,0.94
summarization,qwen3-32b,0.948,0.945,0.96,0.94,0.95,0.952,0.952
