model,task,metric,fit_type,r2,saturation_tokens,F,p,significant
claude-haiku,classification,judge,sigmoid,0.6461425563556994,38.5,1.825996790405815,0.31660995899027183,False
claude-haiku,classification,heuristic,sigmoid,0.7504627530383855,47.352352352352355,3.0074177790132732,0.19499100878013606,False
gemini-flash,classification,judge,sigmoid,0.9355897875688612,41.62962962962963,14.525488307760275,0.027208583242975037,True
gemini-flash,classification,heuristic,sigmoid,0.7600992990421884,40.26426426426426,3.1683913219405633,0.18444137644693118,False
gpt-4o-mini,classification,judge,sigmoid,0.9767313020083092,49.61361361361361,41.976190604093794,0.005983453314003798,True
gpt-4o-mini,classification,heuristic,sigmoid,0.9146361659736998,39.06306306306306,10.714562863845888,0.041239448534396185,True
kimi-k2,classification,judge,sigmoid,0.9547238594878393,57.33108108108108,21.08668823552684,0.01613111351609382,True
kimi-k2,classification,heuristic,sigmoid,0.8748044708624855,57.33108108108108,6.987505679229185,0.07231153011983772,False
llama-3.1-8b,classification,judge,sigmoid,0.8664756262979719,75.27417417417416,6.489269354159954,0.07942889725337234,False
llama-3.1-8b,classification,heuristic,sigmoid,0.9375189175620753,67.45225225225225,15.004844362187638,0.0260111143261515,True
llama-3.3-70b,classification,judge,sigmoid,0.9569971444980668,64.1,22.254269706695297,0.014942086232004874,True
llama-3.3-70b,classification,heuristic,logarithmic,0.17081166018257876,64.1,0.411997255581741,0.6875533028891712,False
qwen3-32b,classification,judge,logarithmic,0.7527236435831696,164.02702702702703,6.088116587372498,0.06114559644278337,False
qwen3-32b,classification,heuristic,sigmoid,0.8136246043221529,53.18808808808809,4.365515101191341,0.12868212156055728,False
claude-haiku,product_extraction,judge,sigmoid,0.9802437220033892,535.6043043043043,49.61682165899623,0.004686144446047173,True
claude-haiku,product_extraction,heuristic,sigmoid,0.9955808069308559,85.80940940940941,225.28565540217005,0.0004980657886959594,True
gemini-flash,product_extraction,judge,sigmoid,0.8297161435665863,471.24845898530106,4.872547292179934,0.11299859629454778,False
gemini-flash,product_extraction,heuristic,sigmoid,0.9967088568098982,76.0911701174859,302.8457892101225,0.0003202135903101273,True
gpt-4o-mini,product_extraction,judge,sigmoid,0.8769493403532272,422.36356356356356,7.126734166810516,0.07051064064513672,False
gpt-4o-mini,product_extraction,heuristic,sigmoid,0.9965267170693382,76.33303303303303,286.9120474672796,0.00034714111391079435,True
kimi-k2,product_extraction,judge,logarithmic,0.6954952219331708,342.47667667667673,4.5680414366472215,0.0927231598655289,False
kimi-k2,product_extraction,heuristic,sigmoid,0.999668572086858,97.6068068068068,3016.2473721956662,1.0242106625787346e-05,True
llama-3.1-8b,product_extraction,judge,sigmoid,0.7204910834203613,233.5856856856857,2.577703395788006,0.2286468101964926,False
llama-3.1-8b,product_extraction,heuristic,sigmoid,0.9912512817174509,99.83193193193193,113.30245753765767,0.0013855504931708517,True
llama-3.3-70b,product_extraction,judge,sigmoid,0.9426004666756588,91.96406406406408,16.4217444303843,0.022939712509752457,True
llama-3.3-70b,product_extraction,heuristic,sigmoid,0.9873053737338771,100.88098098098098,77.773488800424,0.002418899545664606,True
qwen3-32b,product_extraction,judge,logarithmic,0.9300816481332345,377.8507507507508,26.604793256728136,0.004888575927764836,True
qwen3-32b,product_extraction,heuristic,sigmoid,0.9979906974515034,87.76336336336337,496.68512997119586,0.00015281109795659952,True
claude-haiku,qa,judge,logarithmic,0.6175767210710352,15.35,3.2298071540030393,0.14624756426678087,False
claude-haiku,qa,heuristic,sigmoid,0.2999999840790347,15.35,0.4285713960796633,0.7476842308445186,False
gemini-flash,qa,judge,sigmoid,0.4035950262737983,7.9,0.6767130457551838,0.6219817950632647,False
gemini-flash,qa,heuristic,sigmoid,0.7294720143326154,18.139939939939943,2.696475237240353,0.2184351422701685,False
gpt-4o-mini,qa,judge,logarithmic,0.6462164228778821,14.8,3.6531736613360266,0.12516281944132157,False
gpt-4o-mini,qa,heuristic,logarithmic,0.0,14.8,,,False
kimi-k2,qa,judge,logarithmic,0.09673230922357379,33.85,0.21418303834254307,0.8158925212005774,False
kimi-k2,qa,heuristic,sigmoid,0.7438628133765495,39.78648648648649,2.9041578194192814,0.20229571364407162,False
llama-3.1-8b,qa,judge,logarithmic,0.2907105845270386,42.8,0.8197234533189525,0.5030914749019753,False
llama-3.1-8b,qa,heuristic,sigmoid,0.43382146577142044,51.47427427427427,0.7662273285625422,0.5840144563014864,False
llama-3.3-70b,qa,judge,logarithmic,0.06471034656504504,42.8,0.13837498645983978,0.8747667358224781,False
llama-3.3-70b,qa,heuristic,sigmoid,0.5333332158111226,68.00960960960961,1.1428566032144747,0.45759029014866387,False
qwen3-32b,qa,judge,logarithmic,0.6903036043003428,19.85,4.457937605252582,0.09591185750935864,False
qwen3-32b,qa,heuristic,sigmoid,0.7753642574901611,134.4713213213213,3.451651321499741,0.16802783715567468,False
claude-haiku,math_reasoning,judge,sigmoid,0.22764696824939323,60.36756756756756,0.2947447072660688,0.8287643951925305,False
claude-haiku,math_reasoning,heuristic,sigmoid,0.8709303691314664,75.65945945945946,6.747755945924796,0.07559783758397212,False
gemini-flash,math_reasoning,judge,sigmoid,0.20468594377118643,50.91691691691692,0.2573649266828724,0.852827647998733,False
gemini-flash,math_reasoning,heuristic,logarithmic,0.7471726780056854,209.13113113113113,5.910537453879193,0.06392165474681683,False
gpt-4o-mini,math_reasoning,judge,sigmoid,0.17837188448183983,54.19864864864865,0.21709564353131888,0.879187722239182,False
gpt-4o-mini,math_reasoning,heuristic,logarithmic,0.49898811407545707,224.48553553553558,1.9919212621259426,0.2510129098376672,False
kimi-k2,math_reasoning,judge,sigmoid,0.33874411323566755,73.5902902902903,0.5122738716069742,0.7017003571927004,False
kimi-k2,math_reasoning,heuristic,sigmoid,0.915222810198227,58.45235235235236,10.795625714159806,0.040822677054230545,True
llama-3.1-8b,math_reasoning,judge,sigmoid,0.12487090214285823,81.2934934934935,0.14268855012205583,0.9279618917123825,False
llama-3.1-8b,math_reasoning,heuristic,sigmoid,0.08699740190639615,329.84284284284286,0.09528713509474254,0.9575931766014277,False
llama-3.3-70b,math_reasoning,judge,sigmoid,0.28188394596456634,83.76486486486488,0.392532577959408,0.7686356054797295,False
llama-3.3-70b,math_reasoning,heuristic,sigmoid,0.6892380503422189,84.47097097097097,2.2178971753177157,0.26493736851168637,False
qwen3-32b,math_reasoning,judge,sigmoid,0.21670761868346256,62.56966966966967,0.27666248753655176,0.8403442637542055,False
qwen3-32b,math_reasoning,heuristic,sigmoid,0.44297830855076736,110.72882882882885,0.7952622229095734,0.5724445877694746,False
